N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
22080,81,2,256,2,42,256,FP32,0.2836787700653076,526.6025390625
22080,81,2,256,2,42,256,FP32,0.2993307113647461,526.6025390625
22080,81,2,256,2,42,256,FP64,0.5037508010864258,532.8074267819758
22080,81,2,256,2,42,256,FP64,0.48998308181762695,532.8074267819758
22080,81,2,256,2,42,256,FP64,0.48344850540161133,532.8074267819758
22080,81,2,256,2,42,256,FP64,0.4781179428100586,532.8074267819758
22080,81,2,256,2,42,256,FP64,0.484635591506958,532.8074267819758
22080,81,2,256,4,42,256,FP32,0.5844969749450684,491.0739440917969
22080,81,2,256,4,42,256,FP32,0.576261043548584,491.0739440917969
22080,81,2,256,4,42,256,FP32,0.5787804126739502,491.0739440917969
22080,81,2,256,4,42,256,FP32,0.5986135005950928,491.0739440917969
22080,81,2,256,4,42,256,FP32,0.597801685333252,491.0739440917969
22080,81,2,256,4,42,256,FP64,0.9874908924102783,492.50021517028443
22080,81,2,256,4,42,256,FP64,0.9440972805023193,492.50021517028443
22080,81,2,256,4,42,256,FP64,0.959864616394043,492.50021517028443
22080,81,2,256,4,42,256,FP64,0.9784419536590576,492.50021517028443
22080,81,2,256,4,42,256,FP64,0.9475009441375732,492.50021517028443
22080,81,2,512,1,42,256,FP32,0.15098834037780762,659.4916381835938
22080,81,2,512,1,42,256,FP32,0.14958667755126953,659.4916381835938
22080,81,2,512,1,42,256,FP32,0.1463756561279297,659.4916381835938
22080,81,2,512,1,42,256,FP32,0.14654278755187988,659.4916381835938
22080,81,2,512,1,42,256,FP32,0.15047335624694824,659.4916381835938
22080,81,2,512,1,42,256,FP64,0.2510850429534912,683.302581018841
22080,81,2,512,1,42,256,FP64,0.24472761154174805,683.302581018841
22080,81,2,512,1,42,256,FP64,0.2403090000152588,683.302581018841
22080,81,2,512,1,42,256,FP64,0.24672174453735352,683.302581018841
22080,81,2,512,1,42,256,FP64,0.25322890281677246,683.302581018841
22080,81,2,512,2,42,256,FP32,0.3132791519165039,526.6025390625
22080,81,2,512,2,42,256,FP32,0.2929549217224121,526.6025390625
22080,81,2,512,2,42,256,FP32,0.2972831726074219,526.6025390625
22080,81,2,512,2,42,256,FP32,0.28964948654174805,526.6025390625
22080,81,2,512,2,42,256,FP32,0.28601527214050293,526.6025390625
22080,81,2,512,2,42,256,FP64,0.4968128204345703,532.8074267819758
22080,81,2,512,2,42,256,FP64,0.4864797592163086,532.8074267819758
22080,81,2,512,2,42,256,FP64,0.4909656047821045,532.8074267819758
22080,81,2,512,2,42,256,FP64,0.48668766021728516,532.8074267819758
22080,81,2,512,2,42,256,FP64,0.4869961738586426,532.8074267819758
22080,81,2,512,4,42,256,FP32,0.5955934524536133,491.0739440917969
22080,81,2,512,4,42,256,FP32,0.5971078872680664,491.0739440917969
22080,81,2,512,4,42,256,FP32,0.5633130073547363,491.0739440917969
22080,81,2,512,4,42,256,FP32,0.5824534893035889,491.0739440917969
22080,81,2,512,4,42,256,FP32,0.564478874206543,491.0739440917969
22080,81,2,512,4,42,256,FP64,0.95123291015625,492.50021517028443
22080,81,2,512,4,42,256,FP64,0.9643721580505371,492.50021517028443
22080,81,2,512,4,42,256,FP64,0.9724867343902588,492.50021517028443
22080,81,2,512,4,42,256,FP64,0.9583287239074707,492.50021517028443
22080,81,2,512,4,42,256,FP64,0.9580812454223633,492.50021517028443
22080,81,4,64,1,42,256,FP32,0.24977803230285645,617.3311157226562
22080,81,4,64,1,42,256,FP32,0.24999165534973145,617.3311157226562
22080,81,4,64,1,42,256,FP32,0.23961544036865234,617.3311157226562
22080,81,4,64,1,42,256,FP32,0.24187994003295898,617.3311157226562
22080,81,4,64,1,42,256,FP32,0.2512807846069336,617.3311157226562
22080,81,4,64,1,42,256,FP64,0.41167354583740234,639.6360661476263
22080,81,4,64,1,42,256,FP64,0.4266979694366455,639.6360661476263
22080,81,4,64,1,42,256,FP64,0.425947904586792,639.6360661476263
22080,81,4,64,1,42,256,FP64,0.4011828899383545,639.6360661476263
22080,81,4,64,1,42,256,FP64,0.41729140281677246,639.6360661476263
22080,81,4,64,2,42,256,FP32,0.48548340797424316,469.2825622558594
22080,81,4,64,2,42,256,FP32,0.5451338291168213,469.2825622558594
22080,81,4,64,2,42,256,FP32,0.4905669689178467,469.2825622558594
22080,81,4,64,2,42,256,FP32,0.49236154556274414,469.2825622558594
22080,81,4,64,2,42,256,FP32,0.48267173767089844,469.2825622558594
22080,81,4,64,2,42,256,FP64,0.8178150653839111,474.2463723002715
22080,81,4,64,2,42,256,FP64,0.8152749538421631,474.2463723002715
22080,81,4,64,2,42,256,FP64,0.8090341091156006,474.2463723002715
22080,81,4,64,2,42,256,FP64,0.8304340839385986,474.2463723002715
22080,81,4,64,2,42,256,FP64,0.8146200180053711,474.2463723002715
22080,81,4,64,4,42,256,FP32,0.9493458271026611,426.9056091308594
22080,81,4,64,4,42,256,FP32,0.9400501251220703,426.9056091308594
22080,81,4,64,4,42,256,FP32,0.9478902816772461,426.9056091308594
22080,81,4,64,4,42,256,FP32,0.9324889183044434,426.9056091308594
22080,81,4,64,4,42,256,FP32,0.9320945739746094,426.9056091308594
22080,81,4,64,4,42,256,FP64,1.5514535903930664,432.0882786104503
22080,81,4,64,4,42,256,FP64,1.5933630466461182,432.0882786104503
22080,81,4,64,4,42,256,FP64,1.5746302604675293,432.0882786104503
22080,81,4,64,4,42,256,FP64,1.5868170261383057,432.0882786104503
22080,81,4,64,4,42,256,FP64,1.5837812423706055,432.0882786104503
22080,81,4,128,1,42,256,FP32,0.26070737838745117,617.3311157226562
22080,81,4,128,1,42,256,FP32,0.24791598320007324,617.3311157226562
22080,81,4,128,1,42,256,FP32,0.24350643157958984,617.3311157226562
22080,81,4,128,1,42,256,FP32,0.25390195846557617,617.3311157226562
22080,81,4,128,1,42,256,FP32,0.24656915664672852,617.3311157226562
22080,81,4,128,1,42,256,FP64,0.4168210029602051,639.6360661476263
22080,81,4,128,1,42,256,FP64,0.4542062282562256,639.6360661476263
22080,81,4,128,1,42,256,FP64,0.5264925956726074,639.6360661476263
22080,81,4,128,1,42,256,FP64,0.42641377449035645,639.6360661476263
22080,81,4,128,1,42,256,FP64,0.4058873653411865,639.6360661476263
22080,81,4,128,2,42,256,FP32,0.4933476448059082,469.2825622558594
22080,81,4,128,2,42,256,FP32,0.471860408782959,469.2825622558594
22080,81,4,128,2,42,256,FP32,0.4840719699859619,469.2825622558594
22080,81,4,128,2,42,256,FP32,0.4737429618835449,469.2825622558594
22080,81,4,128,2,42,256,FP32,0.4794449806213379,469.2825622558594
22080,81,4,128,2,42,256,FP64,0.811673641204834,474.2463723002715
22080,81,4,128,2,42,256,FP64,0.8170819282531738,474.2463723002715
22080,81,4,128,2,42,256,FP64,0.8439555168151855,474.2463723002715
22080,81,4,128,2,42,256,FP64,0.8376400470733643,474.2463723002715
22080,81,4,128,2,42,256,FP64,0.8377063274383545,474.2463723002715
22080,81,4,128,4,42,256,FP32,0.9614593982696533,426.9056091308594
